TransportType,motorcycles,taxis,cars,Buses,LGVs,rigids,artics
StartDate,2016-01-01,,,,,,
EndDate,2016-12-31,,,,,,
Timezone,Europe/London,,,,,,
00:30,0.237,1.125,0.398,0.594,0.198,0.435,0.436
01:00,0.178,1.003,0.312,0.433,0.172,0.393,0.4
01:30,0.12,0.881,0.226,0.272,0.146,0.352,0.365
02:00,0.093,0.647,0.192,0.234,0.138,0.378,0.378
02:30,0.066,0.412,0.159,0.197,0.13,0.404,0.39
03:00,0.065,0.349,0.147,0.189,0.148,0.355,0.366
03:30,0.063,0.286,0.135,0.18,0.167,0.306,0.342
04:00,0.086,0.276,0.149,0.204,0.215,0.413,0.427
04:30,0.109,0.267,0.163,0.229,0.262,0.52,0.511
05:00,0.199,0.343,0.226,0.367,0.341,0.7,0.664
05:30,0.288,0.419,0.288,0.505,0.42,0.88,0.817
06:00,0.699,0.565,0.54,0.721,0.934,1.195,1.161
06:30,1.11,0.71,0.791,0.937,1.448,1.511,1.504
07:00,1.62,0.786,1.086,1.184,1.771,1.5,1.646
07:30,2.129,0.861,1.381,1.431,2.094,1.49,1.788
08:00,2.375,0.873,1.461,1.435,1.875,1.498,1.739
08:30,2.62,0.885,1.54,1.438,1.656,1.507,1.689
09:00,2.166,0.897,1.424,1.487,1.672,1.693,1.791
09:30,1.712,0.909,1.308,1.537,1.689,1.88,1.892
10:00,1.452,0.983,1.23,1.499,1.724,1.96,1.956
10:30,1.192,1.057,1.152,1.462,1.76,2.041,2.02
11:00,1.165,1.095,1.144,1.404,1.765,2.077,2.025
11:30,1.138,1.133,1.136,1.347,1.77,2.112,2.031
12:00,1.167,1.125,1.168,1.335,1.76,2.118,2.034
12:30,1.196,1.117,1.2,1.324,1.75,2.124,2.037
13:00,1.239,1.143,1.209,1.339,1.748,2.072,1.988
13:30,1.282,1.169,1.219,1.354,1.746,2.021,1.94
14:00,1.292,1.281,1.231,1.392,1.775,1.97,1.862
14:30,1.302,1.393,1.244,1.43,1.804,1.919,1.784
15:00,1.375,1.321,1.31,1.454,1.838,1.853,1.678
15:30,1.447,1.248,1.376,1.477,1.872,1.788,1.572
16:00,1.671,1.337,1.448,1.504,1.887,1.665,1.468
16:30,1.894,1.425,1.521,1.531,1.902,1.542,1.363
17:00,2.237,1.447,1.606,1.47,1.714,1.419,1.241
17:30,2.579,1.469,1.691,1.41,1.525,1.296,1.119
18:00,2.518,1.414,1.647,1.377,1.314,1.214,1.038
18:30,2.458,1.36,1.604,1.343,1.103,1.132,0.956
19:00,2.086,1.394,1.54,1.33,0.973,0.799,0.733
19:30,1.715,1.429,1.476,1.318,0.843,0.466,0.511
20:00,1.417,1.445,1.314,1.195,0.724,0.462,0.498
20:30,1.119,1.461,1.153,1.071,0.604,0.459,0.485
21:00,0.963,1.396,1.054,0.971,0.52,0.384,0.427
21:30,0.807,1.331,0.954,0.871,0.437,0.31,0.37
22:00,0.705,1.301,0.893,0.807,0.384,0.338,0.381
22:30,0.602,1.271,0.832,0.744,0.331,0.365,0.393
23:00,0.525,1.287,0.748,0.745,0.3,0.409,0.424
23:30,0.447,1.304,0.665,0.747,0.269,0.453,0.455
00:00,0.346,1.235,0.539,0.681,0.237,0.452,0.453
00:30,0.246,1.167,0.412,0.616,0.206,0.451,0.451
01:00,0.185,1.04,0.323,0.449,0.178,0.408,0.415
01:30,0.125,0.914,0.234,0.282,0.151,0.365,0.378
02:00,0.097,0.671,0.2,0.243,0.143,0.392,0.391
02:30,0.069,0.428,0.165,0.205,0.134,0.419,0.404
03:00,0.067,0.362,0.153,0.195,0.154,0.368,0.379
03:30,0.066,0.297,0.14,0.186,0.173,0.317,0.354
04:00,0.089,0.287,0.155,0.212,0.222,0.428,0.442
04:30,0.113,0.277,0.17,0.238,0.272,0.539,0.53
05:00,0.206,0.355,0.234,0.381,0.354,0.725,0.688
05:30,0.299,0.434,0.299,0.524,0.436,0.911,0.847
06:00,0.726,0.586,0.56,0.748,0.968,1.239,1.203
06:30,1.153,0.737,0.821,0.972,1.5,1.566,1.559
07:00,1.676,0.813,1.124,1.225,1.832,1.552,1.703
07:30,2.199,0.89,1.427,1.478,2.163,1.539,1.847
08:00,2.47,0.908,1.519,1.491,1.947,1.557,1.807
08:30,2.74,0.925,1.611,1.504,1.732,1.576,1.767
09:00,2.264,0.937,1.488,1.554,1.748,1.769,1.871
09:30,1.787,0.949,1.366,1.605,1.763,1.963,1.976
10:00,1.515,1.025,1.283,1.564,1.799,2.045,2.04
10:30,1.243,1.101,1.201,1.523,1.834,2.127,2.105
11:00,1.211,1.138,1.189,1.459,1.834,2.158,2.105
11:30,1.18,1.174,1.177,1.396,1.835,2.189,2.105
12:00,1.207,1.163,1.207,1.381,1.82,2.19,2.103
12:30,1.233,1.152,1.237,1.366,1.805,2.191,2.101
13:00,1.275,1.176,1.245,1.378,1.799,2.133,2.047
13:30,1.317,1.201,1.252,1.391,1.794,2.076,1.993
14:00,1.329,1.317,1.266,1.432,1.825,2.025,1.914
14:30,1.34,1.434,1.28,1.472,1.856,1.974,1.836
15:00,1.416,1.36,1.349,1.497,1.892,1.908,1.728
15:30,1.491,1.286,1.418,1.522,1.929,1.843,1.62
16:00,1.721,1.377,1.492,1.549,1.944,1.715,1.512
16:30,1.95,1.468,1.566,1.576,1.959,1.588,1.404
17:00,2.318,1.499,1.663,1.522,1.774,1.469,1.285
17:30,2.686,1.53,1.761,1.469,1.589,1.35,1.166
18:00,2.635,1.48,1.723,1.44,1.374,1.27,1.086
18:30,2.583,1.43,1.686,1.412,1.16,1.189,1.005
19:00,2.182,1.456,1.608,1.389,1.017,0.836,0.767
19:30,1.78,1.482,1.531,1.366,0.874,0.483,0.529
20:00,1.471,1.498,1.363,1.239,0.75,0.479,0.516
20:30,1.162,1.515,1.196,1.111,0.626,0.475,0.503
21:00,1,1.448,1.093,1.007,0.539,0.398,0.443
21:30,0.838,1.381,0.989,0.903,0.452,0.322,0.383
22:00,0.732,1.349,0.926,0.837,0.398,0.35,0.395
22:30,0.625,1.318,0.863,0.772,0.343,0.378,0.407
23:00,0.545,1.335,0.776,0.773,0.311,0.424,0.439
23:30,0.464,1.352,0.69,0.774,0.279,0.47,0.471
00:00,0.355,1.261,0.552,0.696,0.243,0.461,0.462
00:30,0.247,1.171,0.414,0.618,0.207,0.452,0.453
01:00,0.186,1.044,0.324,0.45,0.179,0.409,0.416
01:30,0.125,0.917,0.235,0.283,0.152,0.366,0.38
02:00,0.097,0.673,0.2,0.244,0.143,0.393,0.393
02:30,0.069,0.429,0.166,0.205,0.135,0.421,0.406
03:00,0.067,0.363,0.153,0.196,0.154,0.369,0.381
03:30,0.066,0.298,0.141,0.187,0.174,0.318,0.356
04:00,0.09,0.288,0.155,0.213,0.223,0.43,0.444
04:30,0.114,0.278,0.17,0.238,0.273,0.541,0.532
05:00,0.207,0.357,0.235,0.382,0.355,0.728,0.691
05:30,0.3,0.436,0.3,0.526,0.437,0.915,0.851
06:00,0.729,0.588,0.562,0.751,0.972,1.243,1.208
06:30,1.157,0.739,0.823,0.976,1.507,1.572,1.566
07:00,1.695,0.822,1.136,1.238,1.851,1.567,1.721
07:30,2.233,0.904,1.449,1.501,2.196,1.562,1.876
08:00,2.496,0.918,1.535,1.507,1.97,1.574,1.827
08:30,2.759,0.932,1.621,1.514,1.743,1.586,1.779
09:00,2.273,0.94,1.493,1.559,1.753,1.774,1.877
09:30,1.786,0.949,1.365,1.604,1.762,1.962,1.975
10:00,1.518,1.028,1.286,1.568,1.803,2.05,2.046
10:30,1.249,1.107,1.207,1.531,1.844,2.139,2.116
11:00,1.219,1.145,1.197,1.469,1.847,2.172,2.119
11:30,1.189,1.183,1.186,1.407,1.849,2.206,2.121
12:00,1.212,1.168,1.213,1.387,1.828,2.2,2.112
12:30,1.235,1.153,1.239,1.367,1.807,2.193,2.103
13:00,1.278,1.179,1.247,1.381,1.802,2.137,2.051
13:30,1.321,1.204,1.255,1.395,1.798,2.081,1.998
14:00,1.333,1.321,1.27,1.436,1.83,2.031,1.92
14:30,1.344,1.439,1.284,1.477,1.862,1.981,1.842
15:00,1.421,1.364,1.353,1.502,1.899,1.915,1.734
15:30,1.497,1.29,1.423,1.527,1.936,1.849,1.626
16:00,1.733,1.386,1.502,1.559,1.956,1.726,1.521
16:30,1.968,1.481,1.58,1.591,1.977,1.603,1.417
17:00,2.317,1.5,1.664,1.524,1.777,1.471,1.287
17:30,2.666,1.519,1.748,1.458,1.577,1.34,1.157
18:00,2.623,1.473,1.716,1.434,1.368,1.264,1.081
18:30,2.58,1.428,1.684,1.41,1.158,1.188,1.004
19:00,2.183,1.457,1.61,1.391,1.018,0.837,0.768
19:30,1.786,1.487,1.536,1.372,0.877,0.485,0.531
20:00,1.476,1.504,1.368,1.243,0.753,0.481,0.518
20:30,1.166,1.52,1.201,1.115,0.629,0.477,0.505
21:00,1.004,1.453,1.097,1.011,0.542,0.4,0.445
21:30,0.841,1.385,0.993,0.906,0.454,0.323,0.385
22:00,0.734,1.354,0.929,0.84,0.399,0.351,0.397
22:30,0.627,1.322,0.866,0.775,0.344,0.38,0.409
23:00,0.546,1.34,0.779,0.776,0.312,0.426,0.441
23:30,0.466,1.357,0.692,0.777,0.28,0.472,0.473
00:00,0.357,1.269,0.555,0.7,0.244,0.464,0.465
00:30,0.249,1.181,0.418,0.623,0.208,0.456,0.457
01:00,0.188,1.053,0.327,0.454,0.181,0.413,0.42
01:30,0.126,0.925,0.237,0.285,0.153,0.369,0.383
02:00,0.098,0.679,0.202,0.246,0.145,0.397,0.396
02:30,0.069,0.433,0.167,0.207,0.136,0.424,0.409
03:00,0.068,0.367,0.155,0.198,0.156,0.372,0.384
03:30,0.066,0.3,0.142,0.189,0.175,0.321,0.359
04:00,0.091,0.29,0.157,0.215,0.225,0.433,0.448
04:30,0.115,0.28,0.172,0.24,0.275,0.546,0.536
05:00,0.209,0.36,0.237,0.385,0.358,0.734,0.697
05:30,0.303,0.44,0.303,0.53,0.441,0.923,0.858
06:00,0.735,0.593,0.567,0.757,0.98,1.254,1.218
06:30,1.167,0.746,0.831,0.984,1.519,1.585,1.578
07:00,1.707,0.828,1.144,1.247,1.864,1.578,1.733
07:30,2.247,0.909,1.458,1.51,2.209,1.572,1.887
08:00,2.506,0.921,1.541,1.514,1.978,1.581,1.835
08:30,2.764,0.933,1.625,1.517,1.747,1.59,1.782
09:00,2.282,0.945,1.5,1.567,1.762,1.783,1.886
09:30,1.8,0.956,1.375,1.617,1.776,1.977,1.99
10:00,1.524,1.031,1.291,1.573,1.809,2.057,2.053
10:30,1.249,1.107,1.206,1.53,1.843,2.137,2.115
11:00,1.217,1.143,1.194,1.466,1.842,2.168,2.114
11:30,1.185,1.179,1.182,1.401,1.842,2.198,2.113
12:00,1.214,1.17,1.215,1.389,1.831,2.204,2.116
12:30,1.244,1.162,1.248,1.377,1.82,2.209,2.119
13:00,1.296,1.195,1.264,1.4,1.827,2.166,2.079
13:30,1.347,1.228,1.281,1.423,1.834,2.123,2.038
14:00,1.359,1.348,1.295,1.465,1.867,2.072,1.958
14:30,1.371,1.467,1.31,1.506,1.9,2.021,1.879
15:00,1.443,1.387,1.375,1.526,1.93,1.946,1.762
15:30,1.515,1.306,1.44,1.546,1.96,1.872,1.646
16:00,1.746,1.397,1.514,1.572,1.973,1.741,1.535
16:30,1.977,1.488,1.588,1.598,1.986,1.61,1.423
17:00,2.339,1.513,1.679,1.537,1.791,1.483,1.298
17:30,2.701,1.538,1.77,1.477,1.597,1.357,1.172
18:00,2.657,1.492,1.738,1.452,1.385,1.28,1.094
18:30,2.613,1.446,1.705,1.428,1.173,1.203,1.017
19:00,2.207,1.473,1.627,1.405,1.029,0.846,0.776
19:30,1.801,1.5,1.549,1.383,0.885,0.489,0.536
20:00,1.489,1.517,1.38,1.254,0.759,0.485,0.522
20:30,1.176,1.534,1.211,1.125,0.634,0.481,0.509
21:00,1.012,1.465,1.106,1.019,0.546,0.403,0.448
21:30,0.848,1.397,1.001,0.914,0.458,0.326,0.388
22:00,0.741,1.366,0.937,0.848,0.403,0.354,0.4
22:30,0.633,1.334,0.873,0.781,0.347,0.383,0.412
23:00,0.551,1.351,0.786,0.782,0.315,0.429,0.445
23:30,0.47,1.369,0.698,0.784,0.283,0.476,0.477
00:00,0.358,1.271,0.557,0.702,0.245,0.465,0.466
00:30,0.247,1.174,0.415,0.619,0.207,0.453,0.454
01:00,0.186,1.047,0.325,0.451,0.179,0.41,0.417
01:30,0.126,0.92,0.235,0.283,0.152,0.367,0.38
02:00,0.097,0.675,0.201,0.245,0.144,0.394,0.393
02:30,0.069,0.43,0.166,0.206,0.135,0.422,0.407
03:00,0.068,0.364,0.154,0.197,0.155,0.37,0.382
03:30,0.066,0.299,0.141,0.187,0.174,0.319,0.356
04:00,0.09,0.288,0.156,0.213,0.224,0.431,0.445
04:30,0.114,0.278,0.171,0.239,0.273,0.542,0.533
05:00,0.207,0.358,0.236,0.383,0.356,0.73,0.692
05:30,0.301,0.437,0.301,0.527,0.438,0.917,0.852
06:00,0.73,0.589,0.563,0.752,0.974,1.246,1.21
06:30,1.159,0.741,0.825,0.978,1.509,1.575,1.568
07:00,1.677,0.815,1.125,1.226,1.834,1.555,1.706
07:30,2.195,0.888,1.424,1.475,2.158,1.535,1.843
08:00,2.456,0.903,1.511,1.483,1.938,1.549,1.798
08:30,2.718,0.918,1.598,1.492,1.718,1.563,1.753
09:00,2.25,0.932,1.479,1.546,1.738,1.76,1.861
09:30,1.781,0.946,1.361,1.6,1.757,1.956,1.969
10:00,1.51,1.022,1.279,1.559,1.793,2.039,2.034
10:30,1.239,1.098,1.197,1.519,1.828,2.121,2.099
11:00,1.216,1.143,1.194,1.465,1.842,2.167,2.114
11:30,1.193,1.188,1.19,1.412,1.856,2.214,2.129
12:00,1.22,1.176,1.221,1.396,1.84,2.214,2.126
12:30,1.247,1.164,1.251,1.38,1.824,2.214,2.124
13:00,1.29,1.19,1.259,1.394,1.82,2.158,2.071
13:30,1.334,1.216,1.268,1.408,1.816,2.102,2.017
14:00,1.346,1.334,1.282,1.45,1.848,2.052,1.939
14:30,1.358,1.453,1.297,1.492,1.881,2.001,1.861
15:00,1.431,1.375,1.364,1.514,1.914,1.93,1.748
15:30,1.505,1.297,1.43,1.535,1.946,1.859,1.634
16:00,1.741,1.392,1.509,1.567,1.966,1.734,1.529
16:30,1.977,1.488,1.587,1.598,1.986,1.61,1.423
17:00,2.335,1.511,1.677,1.535,1.789,1.482,1.296
17:30,2.693,1.534,1.766,1.473,1.593,1.353,1.169
18:00,2.659,1.493,1.739,1.453,1.386,1.281,1.095
18:30,2.625,1.452,1.713,1.434,1.178,1.208,1.021
19:00,2.207,1.472,1.626,1.404,1.029,0.847,0.777
19:30,1.789,1.491,1.54,1.374,0.879,0.486,0.532
20:00,1.479,1.508,1.372,1.246,0.754,0.482,0.519
20:30,1.168,1.524,1.203,1.117,0.63,0.478,0.505
21:00,1.005,1.457,1.099,1.013,0.542,0.401,0.445
21:30,0.843,1.389,0.995,0.908,0.455,0.324,0.385
22:00,0.736,1.358,0.931,0.842,0.4,0.352,0.397
22:30,0.628,1.326,0.868,0.776,0.345,0.38,0.409
23:00,0.547,1.343,0.781,0.777,0.313,0.427,0.442
23:30,0.466,1.361,0.694,0.779,0.281,0.473,0.474
00:00,0.337,1.188,0.526,0.66,0.23,0.439,0.439
00:30,0.207,1.015,0.358,0.54,0.18,0.405,0.403
01:00,0.156,0.905,0.281,0.394,0.156,0.367,0.37
01:30,0.105,0.795,0.203,0.247,0.132,0.328,0.337
02:00,0.082,0.583,0.173,0.213,0.125,0.352,0.349
02:30,0.058,0.372,0.144,0.179,0.118,0.377,0.361
03:00,0.057,0.315,0.133,0.171,0.134,0.331,0.339
03:30,0.055,0.258,0.122,0.163,0.151,0.285,0.317
04:00,0.075,0.249,0.134,0.186,0.194,0.385,0.395
04:30,0.095,0.241,0.147,0.208,0.238,0.485,0.473
05:00,0.174,0.309,0.204,0.334,0.309,0.653,0.615
05:30,0.252,0.378,0.26,0.46,0.381,0.821,0.757
06:00,0.612,0.509,0.486,0.656,0.847,1.115,1.075
06:30,0.972,0.641,0.712,0.853,1.313,1.409,1.393
07:00,1.155,0.599,0.783,0.905,1.309,1.144,1.223
07:30,1.338,0.556,0.854,0.957,1.305,0.88,1.053
08:00,1.567,0.584,0.944,0.979,1.217,0.967,1.115
08:30,1.796,0.612,1.035,1,1.129,1.054,1.177
09:00,1.606,0.683,1.07,1.145,1.279,1.342,1.411
09:30,1.416,0.753,1.105,1.289,1.429,1.63,1.644
10:00,1.286,0.884,1.13,1.359,1.592,1.83,1.84
10:30,1.155,1.015,1.155,1.428,1.756,2.03,2.035
11:00,1.167,1.09,1.185,1.411,1.818,2.15,2.118
11:30,1.178,1.165,1.215,1.394,1.88,2.27,2.201
12:00,1.213,1.161,1.247,1.385,1.87,2.288,2.2
12:30,1.247,1.157,1.279,1.376,1.859,2.306,2.199
13:00,1.299,1.19,1.289,1.395,1.858,2.235,2.138
13:30,1.351,1.224,1.299,1.413,1.857,2.164,2.076
14:00,1.328,1.307,1.28,1.423,1.84,2.048,1.938
14:30,1.305,1.39,1.261,1.433,1.823,1.932,1.8
15:00,1.335,1.28,1.27,1.407,1.784,1.791,1.629
15:30,1.365,1.17,1.278,1.382,1.745,1.651,1.458
16:00,1.517,1.212,1.289,1.367,1.688,1.476,1.298
16:30,1.669,1.254,1.3,1.351,1.631,1.301,1.138
17:00,1.951,1.268,1.358,1.293,1.457,1.202,1.045
17:30,2.232,1.281,1.416,1.234,1.283,1.103,0.953
18:00,2.262,1.284,1.472,1.26,1.17,1.114,0.955
18:30,2.293,1.286,1.529,1.285,1.057,1.126,0.958
19:00,1.897,1.288,1.429,1.242,0.911,0.78,0.715
19:30,1.501,1.289,1.329,1.199,0.765,0.435,0.473
20:00,1.24,1.303,1.184,1.087,0.657,0.431,0.461
20:30,0.98,1.318,1.038,0.975,0.548,0.427,0.449
21:00,0.843,1.259,0.949,0.883,0.472,0.358,0.396
21:30,0.707,1.201,0.859,0.792,0.396,0.289,0.342
22:00,0.617,1.174,0.804,0.734,0.348,0.315,0.353
22:30,0.527,1.147,0.749,0.677,0.3,0.34,0.363
23:00,0.459,1.162,0.674,0.678,0.272,0.381,0.392
23:30,0.391,1.176,0.599,0.679,0.244,0.423,0.421
00:00,0.203,0.899,0.53,0.55,0.179,0.221,0.245
00:30,0.015,0.622,0.46,0.421,0.114,0.019,0.07
01:00,0.012,0.523,0.367,0.315,0.094,0.017,0.061
01:30,0.009,0.425,0.275,0.209,0.075,0.014,0.052
02:00,0.007,0.357,0.231,0.168,0.065,0.014,0.052
02:30,0.005,0.288,0.188,0.128,0.055,0.014,0.052
03:00,0.006,0.262,0.181,0.136,0.054,0.017,0.062
03:30,0.007,0.237,0.174,0.145,0.053,0.02,0.073
04:00,0.007,0.231,0.187,0.2,0.067,0.023,0.083
04:30,0.007,0.226,0.2,0.255,0.081,0.026,0.093
05:00,0.008,0.257,0.254,0.399,0.138,0.044,0.156
05:30,0.01,0.287,0.308,0.542,0.194,0.062,0.219
06:00,0.014,0.304,0.404,0.691,0.304,0.082,0.288
06:30,0.018,0.32,0.501,0.839,0.413,0.102,0.357
07:00,0.024,0.365,0.6,0.932,0.533,0.118,0.413
07:30,0.029,0.409,0.7,1.025,0.653,0.134,0.468
08:00,0.032,0.481,0.761,1.033,0.66,0.124,0.433
08:30,0.035,0.553,0.823,1.041,0.667,0.114,0.398
09:00,0.038,0.646,0.976,1.057,0.666,0.099,0.347
09:30,0.041,0.738,1.129,1.073,0.665,0.085,0.297
10:00,0.045,0.795,1.281,1.021,0.682,0.082,0.288
10:30,0.049,0.852,1.433,0.969,0.698,0.08,0.28
11:00,0.047,0.889,1.511,0.915,0.712,0.074,0.259
11:30,0.046,0.926,1.589,0.861,0.726,0.068,0.238
12:00,0.049,0.912,1.639,0.844,0.714,0.062,0.219
12:30,0.052,0.897,1.689,0.827,0.703,0.057,0.2
13:00,0.052,0.908,1.705,0.828,0.695,0.054,0.19
13:30,0.052,0.919,1.721,0.83,0.688,0.051,0.18
14:00,0.055,0.925,1.725,0.847,0.676,0.051,0.178
14:30,0.058,0.931,1.729,0.863,0.665,0.05,0.177
15:00,0.053,0.954,1.717,0.878,0.65,0.048,0.17
15:30,0.049,0.978,1.704,0.892,0.634,0.046,0.163
16:00,0.052,0.982,1.694,0.915,0.619,0.045,0.159
16:30,0.056,0.986,1.684,0.938,0.605,0.044,0.155
17:00,0.054,1.005,1.693,0.931,0.597,0.044,0.154
17:30,0.052,1.025,1.702,0.924,0.59,0.043,0.153
18:00,0.054,1.027,1.717,0.935,0.586,0.045,0.16
18:30,0.056,1.03,1.733,0.946,0.582,0.047,0.167
19:00,0.05,0.982,1.558,0.884,0.523,0.047,0.167
19:30,0.045,0.934,1.383,0.821,0.465,0.047,0.166
20:00,0.04,0.871,1.239,0.78,0.413,0.055,0.194
20:30,0.035,0.807,1.095,0.739,0.362,0.063,0.221
21:00,0.032,0.754,1,0.719,0.328,0.065,0.227
21:30,0.03,0.701,0.905,0.699,0.294,0.066,0.233
22:00,0.029,0.699,0.874,0.723,0.281,0.063,0.222
22:30,0.029,0.697,0.842,0.747,0.269,0.06,0.21
23:00,0.027,0.679,0.761,0.77,0.255,0.065,0.227
23:30,0.025,0.661,0.68,0.793,0.241,0.069,0.244
00:00,0.131,0.893,0.539,0.693,0.22,0.252,0.34
